epoch,loss,val_loss,training_time
0,2.2759296894073486,3.114576578140259,4.495242118835449
1,2.120105266571045,3.1288976669311523,0.8743817806243896
2,2.0185468196868896,3.1429283618927,0.88812255859375
3,1.912437081336975,3.1063969135284424,0.9709727764129639
4,1.8221149444580078,3.0911152362823486,0.962087869644165
5,1.751894235610962,3.012312889099121,0.9741475582122803
6,1.6944622993469238,2.8112871646881104,1.0007095336914062
7,1.6744824647903442,3.0047976970672607,0.8743011951446533
8,1.6573680639266968,2.491711378097534,0.9913420677185059
9,1.5921368598937988,2.2011382579803467,0.9814841747283936
10,1.5689443349838257,2.3842625617980957,0.8813755512237549
11,1.5271650552749634,2.199957847595215,0.9566562175750732
12,1.6197435855865479,2.169275999069214,0.958463191986084
13,1.5196086168289185,2.0434587001800537,0.9767606258392334
14,1.5309152603149414,2.0320146083831787,1.0154876708984375
15,1.6907378435134888,2.226682186126709,1.1194889545440674
16,1.6268553733825684,1.9193428754806519,1.143089771270752
17,1.467428207397461,1.9628108739852905,0.9140262603759766
18,1.4377802610397339,1.992235541343689,0.9852635860443115
19,1.3963897228240967,2.2407989501953125,0.9902489185333252
20,1.423519253730774,2.1042306423187256,0.9413163661956787
21,1.322286605834961,2.0538597106933594,0.9563913345336914
22,1.3063020706176758,2.268800973892212,1.0373754501342773
23,1.4228755235671997,2.877140760421753,0.947878360748291
24,1.3859844207763672,2.195587158203125,0.9001755714416504
25,1.2321418523788452,2.251013994216919,0.9948956966400146
26,1.2061091661453247,2.397473096847534,0.9946451187133789
27,1.2046961784362793,2.019735813140869,0.8895211219787598
28,1.1308550834655762,2.6071760654449463,0.9029929637908936
29,1.1374460458755493,2.173257827758789,0.9801943302154541
30,1.1075022220611572,2.268374443054199,0.9808189868927002
31,1.1281108856201172,2.3144195079803467,0.8775784969329834
